n,gain_après_inter(en%),gain_après_2opt(en%)
8,0.0,3.0
8,20.0,25.0
8,8.0,8.0
8,9.0,9.0
8,4.0,18.0
8,9.0,20.0
8,0.0,1.0
8,0.0,0.0
8,15.0,18.0
8,10.0,13.0
8,0.0,0.0
8,9.0,9.0
8,0.0,2.0
8,8.0,10.0
8,1.0,1.0
8,0.0,1.0
8,0.0,2.0
8,5.0,5.0
8,11.0,14.000000000000002
8,18.0,18.0
8,15.0,16.0
8,5.0,11.0
8,0.0,3.0
8,0.0,4.0
8,16.0,16.0
8,9.0,9.0
8,0.0,3.0
8,2.0,9.0
8,16.0,16.0
8,1.0,6.0
8,0.0,12.0
9,14.000000000000002,16.0
9,4.0,4.0
9,11.0,11.0
9,13.0,16.0
9,10.0,28.999999999999996
9,0.0,5.0
9,3.0,3.0
9,0.0,1.0
9,12.0,18.0
9,10.0,10.0
9,22.0,22.0
9,9.0,10.0
9,0.0,0.0
9,1.0,10.0
9,0.0,0.0
9,5.0,5.0
9,0.0,0.0
9,0.0,8.0
9,2.0,3.0
9,0.0,5.0
9,9.0,11.0
9,3.0,5.0
9,0.0,0.0
9,2.0,6.0
9,2.0,4.0
9,2.0,5.0
9,15.0,17.0
9,10.0,21.0
9,9.0,9.0
9,1.0,13.0
9,8.0,10.0
9,2.0,2.0
9,0.0,1.0
9,6.0,6.0
9,4.0,8.0
9,1.0,1.0
9,3.0,6.0
9,14.000000000000002,17.0
9,0.0,2.0
9,0.0,9.0
9,0.0,6.0
9,11.0,13.0
9,7.000000000000001,19.0
9,0.0,9.0
9,10.0,11.0
9,5.0,8.0
9,0.0,1.0
9,6.0,7.000000000000001
9,7.000000000000001,12.0
9,3.0,7.000000000000001
10,14.000000000000002,25.0
10,12.0,14.000000000000002
10,0.0,1.0
10,11.0,19.0
10,14.000000000000002,14.000000000000002
10,22.0,23.0
10,3.0,12.0
10,12.0,12.0
10,10.0,14.000000000000002
10,4.0,6.0
10,12.0,12.0
10,10.0,10.0
10,1.0,2.0
10,5.0,9.0
10,10.0,11.0
10,0.0,0.0
10,0.0,2.0
10,18.0,20.0
10,20.0,20.0
10,14.000000000000002,17.0
10,12.0,12.0
10,0.0,1.0
10,8.0,16.0
10,15.0,17.0
10,14.000000000000002,15.0
10,1.0,5.0
10,5.0,10.0
10,3.0,4.0
10,6.0,6.0
10,7.000000000000001,13.0
10,2.0,5.0
10,6.0,11.0
10,16.0,18.0
10,7.000000000000001,8.0
10,6.0,10.0
10,0.0,1.0
10,8.0,8.0
10,16.0,21.0
10,0.0,5.0
10,5.0,5.0
10,2.0,2.0
10,4.0,8.0
10,6.0,13.0
10,2.0,10.0
10,0.0,1.0
10,7.000000000000001,13.0
10,1.0,1.0
10,5.0,7.000000000000001
10,0.0,12.0
10,0.0,5.0
11,1.0,7.000000000000001
11,2.0,8.0
11,14.000000000000002,14.000000000000002
11,1.0,2.0
11,4.0,4.0
11,1.0,3.0
11,9.0,19.0
11,2.0,4.0
11,10.0,12.0
11,14.000000000000002,16.0
11,9.0,14.000000000000002
11,20.0,22.0
11,6.0,9.0
11,9.0,11.0
11,14.000000000000002,17.0
11,4.0,4.0
11,9.0,18.0
11,0.0,0.0
11,0.0,9.0
11,15.0,15.0
11,8.0,8.0
11,0.0,2.0
11,13.0,17.0
11,19.0,21.0
11,3.0,9.0
11,3.0,3.0
11,7.000000000000001,7.000000000000001
11,0.0,5.0
11,0.0,5.0
11,0.0,3.0
11,10.0,14.000000000000002
11,6.0,11.0
11,14.000000000000002,15.0
11,0.0,3.0
11,11.0,14.000000000000002
11,8.0,8.0
11,5.0,6.0
11,5.0,6.0
11,26.0,26.0
11,6.0,7.000000000000001
11,12.0,13.0
11,0.0,0.0
11,12.0,12.0
11,2.0,5.0
11,4.0,12.0
11,2.0,2.0
11,10.0,16.0
11,0.0,0.0
11,13.0,14.000000000000002
11,11.0,11.0
12,15.0,15.0
12,15.0,19.0
12,15.0,19.0
12,2.0,6.0
12,8.0,13.0
12,5.0,10.0
12,8.0,12.0
12,3.0,7.000000000000001
12,16.0,17.0
12,8.0,8.0
12,15.0,15.0
12,13.0,17.0
12,14.000000000000002,23.0
12,4.0,8.0
12,4.0,10.0
12,5.0,11.0
12,15.0,19.0
12,3.0,6.0
12,11.0,12.0
12,0.0,4.0
12,2.0,3.0
12,3.0,6.0
12,9.0,10.0
12,13.0,18.0
12,0.0,1.0
12,5.0,5.0
12,12.0,13.0
12,12.0,15.0
12,0.0,4.0
12,2.0,10.0
12,0.0,6.0
12,7.000000000000001,10.0
12,11.0,14.000000000000002
12,6.0,10.0
12,4.0,6.0
12,10.0,11.0
12,9.0,16.0
12,0.0,7.000000000000001
12,17.0,19.0
12,15.0,19.0
12,12.0,22.0
12,7.000000000000001,15.0
12,2.0,2.0
12,0.0,14.000000000000002
12,2.0,3.0
12,0.0,4.0
12,11.0,14.000000000000002
12,2.0,3.0
12,8.0,15.0
12,2.0,3.0
13,0.0,4.0
13,4.0,10.0
13,4.0,12.0
13,14.000000000000002,14.000000000000002
13,11.0,12.0
13,9.0,12.0
13,0.0,7.000000000000001
13,0.0,2.0
13,1.0,4.0
13,12.0,13.0
13,13.0,22.0
13,2.0,6.0
13,19.0,20.0
13,6.0,9.0
13,5.0,11.0
13,10.0,11.0
13,3.0,7.000000000000001
13,3.0,4.0
13,6.0,7.000000000000001
13,13.0,17.0
13,7.000000000000001,14.000000000000002
13,14.000000000000002,16.0
13,7.000000000000001,8.0
13,12.0,16.0
13,13.0,13.0
13,18.0,19.0
13,15.0,15.0
13,1.0,6.0
13,16.0,26.0
13,0.0,1.0
13,8.0,8.0
13,3.0,6.0
13,11.0,15.0
13,14.000000000000002,19.0
13,3.0,7.000000000000001
13,12.0,16.0
13,6.0,11.0
13,8.0,16.0
13,1.0,3.0
13,0.0,1.0
13,3.0,6.0
13,0.0,4.0
13,6.0,7.000000000000001
13,22.0,25.0
13,2.0,4.0
13,10.0,16.0
13,5.0,9.0
13,15.0,18.0
13,0.0,1.0
13,2.0,6.0
14,2.0,10.0
14,6.0,9.0
14,15.0,17.0
14,11.0,12.0
14,5.0,5.0
14,14.000000000000002,14.000000000000002
14,5.0,5.0
14,12.0,14.000000000000002
14,8.0,10.0
14,11.0,14.000000000000002
14,13.0,16.0
14,19.0,23.0
14,9.0,12.0
14,3.0,5.0
14,11.0,22.0
14,5.0,12.0
14,9.0,12.0
14,7.000000000000001,9.0
14,16.0,22.0
14,15.0,17.0
14,0.0,1.0
14,5.0,7.000000000000001
14,15.0,16.0
14,18.0,27.0
14,6.0,10.0
14,13.0,13.0
14,12.0,17.0
14,16.0,16.0
14,5.0,10.0
14,7.000000000000001,8.0
14,15.0,20.0
14,12.0,14.000000000000002
14,21.0,25.0
14,8.0,12.0
14,0.0,2.0
14,16.0,16.0
14,4.0,13.0
14,14.000000000000002,17.0
14,6.0,10.0
14,3.0,7.000000000000001
14,12.0,20.0
14,9.0,12.0
14,0.0,3.0
14,15.0,17.0
14,13.0,13.0
14,0.0,3.0
14,9.0,10.0
14,14.000000000000002,16.0
14,0.0,7.000000000000001
14,8.0,9.0
15,9.0,13.0
15,15.0,16.0
15,11.0,12.0
15,7.000000000000001,8.0
15,4.0,6.0
15,5.0,8.0
15,19.0,25.0
15,10.0,11.0
15,4.0,5.0
15,5.0,7.000000000000001
15,13.0,13.0
15,1.0,5.0
15,2.0,7.000000000000001
15,1.0,10.0
15,5.0,5.0
15,14.000000000000002,17.0
15,3.0,6.0
15,10.0,12.0
15,14.000000000000002,19.0
15,3.0,3.0
15,0.0,2.0
15,24.0,25.0
15,26.0,25.0
15,11.0,12.0
15,9.0,11.0
15,0.0,2.0
15,11.0,11.0
15,8.0,9.0
15,9.0,17.0
15,2.0,2.0
15,6.0,8.0
15,4.0,5.0
15,20.0,20.0
15,13.0,23.0
15,11.0,11.0
15,11.0,12.0
15,3.0,12.0
15,9.0,10.0
15,12.0,16.0
15,10.0,18.0
15,5.0,6.0
15,0.0,7.000000000000001
15,0.0,3.0
15,4.0,4.0
15,3.0,4.0
15,3.0,8.0
15,6.0,7.000000000000001
15,11.0,17.0
15,7.000000000000001,8.0
15,3.0,4.0
16,3.0,3.0
16,16.0,18.0
16,5.0,9.0
16,14.000000000000002,15.0
16,4.0,11.0
16,5.0,6.0
16,0.0,7.000000000000001
16,11.0,14.000000000000002
16,9.0,11.0
16,10.0,10.0
16,7.000000000000001,8.0
16,21.0,23.0
16,9.0,13.0
16,17.0,18.0
16,0.0,4.0
16,10.0,12.0
16,9.0,15.0
16,10.0,10.0
16,20.0,21.0
16,11.0,15.0
16,0.0,5.0
16,10.0,13.0
16,0.0,2.0
16,1.0,6.0
16,17.0,18.0
16,9.0,9.0
16,10.0,14.000000000000002
16,19.0,22.0
16,11.0,15.0
16,20.0,23.0
16,6.0,8.0
16,3.0,5.0
16,5.0,7.000000000000001
16,3.0,17.0
16,7.000000000000001,9.0
16,13.0,13.0
16,16.0,18.0
16,12.0,15.0
16,8.0,9.0
16,9.0,16.0
16,5.0,8.0
16,5.0,11.0
16,0.0,4.0
16,10.0,10.0
16,1.0,2.0
16,9.0,11.0
16,18.0,19.0
16,11.0,19.0
16,4.0,6.0
16,5.0,8.0
17,12.0,16.0
17,13.0,20.0
17,9.0,15.0
17,20.0,22.0
17,3.0,10.0
17,7.000000000000001,11.0
17,12.0,13.0
17,14.000000000000002,19.0
17,23.0,24.0
17,13.0,19.0
17,1.0,10.0
17,10.0,13.0
17,12.0,22.0
17,6.0,8.0
17,19.0,20.0
17,3.0,9.0
17,1.0,7.000000000000001
17,6.0,10.0
17,13.0,13.0
17,11.0,13.0
17,15.0,21.0
17,8.0,11.0
17,12.0,16.0
17,9.0,10.0
17,6.0,7.000000000000001
17,11.0,14.000000000000002
17,10.0,13.0
17,11.0,15.0
17,6.0,8.0
17,7.000000000000001,18.0
17,3.0,8.0
17,7.000000000000001,18.0
17,15.0,16.0
17,0.0,4.0
17,12.0,15.0
17,12.0,16.0
17,10.0,16.0
17,13.0,19.0
17,7.000000000000001,9.0
17,9.0,10.0
17,0.0,2.0
17,23.0,23.0
17,8.0,14.000000000000002
17,11.0,13.0
17,9.0,13.0
17,17.0,17.0
17,1.0,5.0
17,16.0,19.0
17,12.0,13.0
17,7.000000000000001,9.0
18,8.0,11.0
18,9.0,12.0
18,11.0,16.0
18,5.0,8.0
18,1.0,6.0
18,11.0,13.0
18,15.0,19.0
18,17.0,20.0
18,10.0,18.0
18,10.0,12.0
18,2.0,11.0
18,18.0,22.0
18,5.0,11.0
18,10.0,14.000000000000002
18,6.0,13.0
18,10.0,10.0
18,13.0,19.0
18,7.000000000000001,12.0
18,8.0,9.0
18,10.0,14.000000000000002
18,15.0,20.0
18,6.0,9.0
18,15.0,17.0
18,9.0,13.0
18,4.0,7.000000000000001
18,9.0,14.000000000000002
18,19.0,20.0
18,6.0,8.0
18,7.000000000000001,14.000000000000002
18,21.0,25.0
18,21.0,26.0
18,3.0,6.0
18,8.0,8.0
18,11.0,13.0
18,11.0,13.0
18,5.0,7.000000000000001
18,2.0,10.0
18,23.0,28.000000000000004
18,1.0,2.0
18,8.0,14.000000000000002
18,5.0,6.0
18,14.000000000000002,15.0
18,13.0,17.0
18,20.0,23.0
18,18.0,21.0
18,9.0,14.000000000000002
18,13.0,16.0
18,4.0,4.0
18,11.0,13.0
18,16.0,21.0
19,11.0,15.0
19,17.0,21.0
19,24.0,25.0
19,0.0,5.0
19,11.0,15.0
19,9.0,13.0
19,18.0,21.0
19,13.0,14.000000000000002
19,14.000000000000002,15.0
19,15.0,18.0
19,8.0,14.000000000000002
19,15.0,19.0
19,3.0,5.0
19,5.0,6.0
19,8.0,11.0
19,5.0,10.0
19,16.0,16.0
19,12.0,15.0
19,6.0,9.0
19,13.0,14.000000000000002
19,5.0,8.0
19,12.0,16.0
19,1.0,11.0
19,9.0,12.0
19,14.000000000000002,18.0
19,16.0,19.0
19,10.0,17.0
19,14.000000000000002,16.0
19,1.0,2.0
19,16.0,19.0
19,5.0,17.0
19,14.000000000000002,20.0
19,4.0,9.0
19,5.0,6.0
19,6.0,6.0
19,14.000000000000002,16.0
19,15.0,18.0
19,8.0,12.0
19,12.0,24.0
19,9.0,10.0
19,6.0,14.000000000000002
19,6.0,7.000000000000001
19,6.0,7.000000000000001
19,12.0,19.0
19,15.0,16.0
19,5.0,14.000000000000002
19,6.0,8.0
19,3.0,8.0
19,23.0,28.000000000000004
19,6.0,12.0
20,9.0,16.0
20,3.0,5.0
20,11.0,13.0
20,14.000000000000002,20.0
20,12.0,15.0
20,8.0,17.0
20,11.0,13.0
20,7.000000000000001,7.000000000000001
20,10.0,14.000000000000002
20,19.0,22.0
20,1.0,4.0
20,8.0,10.0
20,6.0,16.0
20,13.0,13.0
20,17.0,22.0
20,5.0,7.000000000000001
20,16.0,20.0
20,9.0,9.0
20,18.0,21.0
20,15.0,15.0
20,6.0,12.0
20,5.0,11.0
20,3.0,4.0
20,7.000000000000001,10.0
20,17.0,18.0
20,17.0,23.0
20,9.0,11.0
20,12.0,15.0
20,14.000000000000002,21.0
20,5.0,11.0
20,17.0,18.0
20,10.0,15.0
20,12.0,14.000000000000002
20,17.0,18.0
20,15.0,18.0
20,13.0,14.000000000000002
20,6.0,17.0
20,18.0,22.0
20,8.0,16.0
20,3.0,6.0
20,16.0,18.0
20,5.0,9.0
20,17.0,18.0
20,21.0,25.0
20,22.0,30.0
20,14.000000000000002,16.0
20,8.0,11.0
20,14.000000000000002,17.0
20,9.0,16.0
20,10.0,11.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
3,0.0,6.0
3,0.0,0.0
3,0.0,0.0
3,0.0,0.0
3,0.0,0.0
3,0.0,0.0
3,0.0,0.0
3,0.0,0.0
3,0.0,2.0
3,0.0,0.0
3,0.0,0.0
3,0.0,0.0
3,0.0,7.000000000000001
3,0.0,0.0
3,0.0,6.0
3,0.0,1.0
3,0.0,6.0
3,0.0,3.0
3,0.0,4.0
3,0.0,0.0
3,0.0,0.0
3,0.0,2.0
3,0.0,0.0
3,0.0,0.0
3,0.0,0.0
3,0.0,0.0
3,0.0,0.0
3,0.0,0.0
3,0.0,0.0
3,0.0,0.0
3,3.0,9.0
3,0.0,8.0
3,0.0,2.0
3,0.0,0.0
3,3.0,4.0
3,2.0,2.0
3,0.0,0.0
3,0.0,0.0
3,0.0,8.0
3,0.0,0.0
3,0.0,2.0
3,0.0,0.0
3,0.0,0.0
3,0.0,0.0
3,0.0,0.0
3,0.0,5.0
3,0.0,0.0
3,0.0,6.0
3,0.0,0.0
3,0.0,5.0
3,0.0,0.0
3,0.0,5.0
3,0.0,0.0
3,0.0,0.0
3,0.0,6.0
3,0.0,5.0
3,0.0,0.0
3,0.0,0.0
3,15.0,18.0
3,0.0,0.0
3,0.0,4.0
3,0.0,1.0
3,0.0,0.0
3,0.0,0.0
3,0.0,0.0
3,0.0,0.0
3,0.0,0.0
3,0.0,2.0
3,0.0,0.0
3,0.0,0.0
3,0.0,3.0
3,0.0,11.0
3,0.0,0.0
3,0.0,0.0
3,0.0,0.0
3,0.0,0.0
3,0.0,0.0
3,0.0,8.0
3,0.0,0.0
3,0.0,0.0
3,0.0,0.0
3,0.0,3.0
3,0.0,3.0
3,0.0,0.0
3,0.0,0.0
3,0.0,7.000000000000001
3,0.0,1.0
3,0.0,4.0
3,0.0,0.0
3,0.0,2.0
3,0.0,0.0
3,0.0,5.0
3,0.0,0.0
3,0.0,0.0
3,0.0,1.0
3,0.0,1.0
3,0.0,14.000000000000002
3,0.0,0.0
3,0.0,0.0
3,0.0,0.0
4,0.0,0.0
4,0.0,8.0
4,0.0,0.0
4,5.0,5.0
4,0.0,8.0
4,0.0,0.0
4,0.0,18.0
4,0.0,0.0
4,7.000000000000001,7.000000000000001
4,0.0,0.0
4,0.0,0.0
4,0.0,0.0
4,0.0,0.0
4,0.0,0.0
4,0.0,8.0
4,0.0,0.0
4,0.0,0.0
4,0.0,0.0
4,0.0,0.0
4,0.0,0.0
4,12.0,14.000000000000002
4,0.0,3.0
4,0.0,7.000000000000001
4,0.0,16.0
4,0.0,0.0
4,17.0,17.0
