n,gain_après_inter(en%),gain_après_2opt(en%)
4,15.0,15.0
4,0.0,4.0
4,0.0,10.0
4,0.0,0.0
4,1.0,2.0
4,9.0,9.0
4,0.0,0.0
4,0.0,11.0
4,15.0,15.0
4,0.0,0.0
4,0.0,8.0
4,0.0,0.0
4,0.0,2.0
4,0.0,0.0
4,0.0,19.0
4,0.0,0.0
4,0.0,0.0
4,0.0,0.0
4,0.0,2.0
4,13.0,13.0
4,0.0,20.0
4,0.0,0.0
4,0.0,10.0
4,0.0,15.0
4,5.0,7.000000000000001
4,0.0,0.0
4,2.0,11.0
4,3.0,3.0
4,14.000000000000002,14.000000000000002
4,9.0,9.0
4,0.0,0.0
4,13.0,13.0
4,0.0,0.0
4,0.0,3.0
4,0.0,0.0
4,5.0,5.0
4,0.0,0.0
4,0.0,2.0
4,0.0,9.0
4,0.0,12.0
4,0.0,0.0
4,0.0,2.0
4,0.0,4.0
4,0.0,0.0
4,0.0,0.0
4,0.0,1.0
4,0.0,7.000000000000001
4,0.0,0.0
5,0.0,0.0
5,0.0,0.0
5,12.0,12.0
5,0.0,0.0
5,0.0,0.0
5,5.0,5.0
5,18.0,18.0
5,0.0,0.0
5,0.0,10.0
5,0.0,0.0
5,3.0,8.0
5,0.0,5.0
5,0.0,0.0
5,0.0,12.0
5,0.0,0.0
5,5.0,5.0
5,2.0,2.0
5,0.0,0.0
5,0.0,0.0
5,5.0,6.0
5,15.0,15.0
5,0.0,0.0
5,0.0,0.0
5,0.0,0.0
5,7.000000000000001,7.000000000000001
5,0.0,8.0
5,0.0,0.0
5,0.0,0.0
5,0.0,8.0
5,5.0,5.0
5,0.0,0.0
5,0.0,0.0
5,0.0,3.0
5,8.0,8.0
5,10.0,10.0
5,0.0,0.0
5,0.0,12.0
5,2.0,2.0
5,0.0,2.0
5,8.0,8.0
5,0.0,0.0
5,0.0,0.0
5,0.0,15.0
5,16.0,16.0
5,20.0,27.0
5,0.0,0.0
5,0.0,0.0
5,0.0,19.0
5,11.0,17.0
5,7.000000000000001,17.0
6,1.0,4.0
6,0.0,0.0
6,0.0,0.0
6,0.0,4.0
6,12.0,17.0
6,8.0,9.0
6,1.0,3.0
6,0.0,5.0
6,0.0,5.0
6,0.0,1.0
6,4.0,4.0
6,0.0,3.0
6,20.0,22.0
6,4.0,4.0
6,0.0,0.0
6,0.0,0.0
6,8.0,8.0
6,0.0,3.0
6,0.0,2.0
6,12.0,12.0
6,0.0,0.0
6,0.0,12.0
6,8.0,15.0
6,8.0,10.0
6,0.0,8.0
6,14.000000000000002,14.000000000000002
6,0.0,5.0
6,0.0,10.0
6,0.0,2.0
6,2.0,10.0
6,27.0,27.0
6,1.0,6.0
6,0.0,2.0
6,6.0,6.0
6,0.0,9.0
6,0.0,14.000000000000002
6,19.0,26.0
6,0.0,3.0
6,0.0,8.0
6,0.0,3.0
6,12.0,15.0
6,0.0,1.0
6,0.0,2.0
6,0.0,16.0
6,0.0,0.0
6,0.0,2.0
6,0.0,0.0
6,0.0,5.0
6,15.0,17.0
6,0.0,0.0
7,5.0,9.0
7,0.0,0.0
7,0.0,3.0
7,6.0,14.000000000000002
7,0.0,0.0
7,3.0,3.0
7,0.0,1.0
7,1.0,1.0
7,2.0,2.0
7,0.0,0.0
7,11.0,12.0
7,5.0,7.000000000000001
7,5.0,6.0
7,10.0,12.0
7,6.0,6.0
7,9.0,17.0
7,7.000000000000001,7.000000000000001
7,0.0,0.0
7,0.0,6.0
7,4.0,13.0
7,21.0,21.0
7,15.0,19.0
7,9.0,15.0
7,10.0,10.0
7,0.0,0.0
7,1.0,1.0
7,0.0,0.0
7,2.0,5.0
7,0.0,0.0
7,0.0,0.0
7,0.0,1.0
7,5.0,9.0
7,1.0,8.0
7,7.000000000000001,12.0
7,0.0,8.0
7,10.0,21.0
7,0.0,4.0
7,0.0,0.0
7,7.000000000000001,8.0
7,0.0,0.0
7,0.0,11.0
7,7.000000000000001,7.000000000000001
7,2.0,2.0
7,0.0,4.0
7,4.0,4.0
7,0.0,0.0
7,0.0,7.000000000000001
7,0.0,0.0
7,6.0,9.0
7,12.0,12.0
8,0.0,3.0
8,0.0,0.0
8,0.0,2.0
8,14.000000000000002,14.000000000000002
8,1.0,1.0
8,5.0,6.0
8,0.0,1.0
8,0.0,3.0
8,0.0,1.0
8,2.0,4.0
8,0.0,5.0
8,0.0,1.0
8,2.0,2.0
8,15.0,16.0
8,5.0,7.000000000000001
8,0.0,0.0
8,17.0,18.0
8,6.0,6.0
8,8.0,8.0
